time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	6.95326e-310	0.312243	0.58034	0.6	0.6	0	0
1477010443050000	2.1984e+17	0.46304	2.97683e+08	3.3255e-10	0	radar	1.02669	0.862916	0.534212	0.859997	0.600045	0.000345533	4.77611e-06
1477010443100000	32	0.479653	2195.2	0.00735698	-1.10732e+07	lidar	0.027921	1.17385	0.481073	1.11998	0.600225	0.00103642	2.14877e-05
1477010443150000	-1.03971e+10	0.01831	2.47006e+06	-553661	-1.09271e+07	radar	1.03363	0.969149	0.397513	1.37996	0.600629	0.00207233	5.72822e-05
1477010443200000	1.65063	0.625059	-8.48883e+06	-546357	-5.65683e+07	lidar	136.928	1.65063	0.62469	1.6399	0.601347	0.00345278	0.000119289
1477010443250000	1.85011	0.542186	1.49692e+12	-2.82842e+06	-9.1656e+11	radar	1.39876	1.62331	0.499091	1.89982	0.60247	0.00517714	0.00021461
1477010443300000	22.9171	13.1897	2.17027e+24	-1.5276e+10	-1.20708e+23	lidar	1.45014	2.18882	0.648739	2.1597	0.604086	0.0072446	0.000350319
1477010443350000	1119.34	591.072	1.84995e+49	-2.01181e+21	-3.7567e+23	radar	9.45275	1.96701	0.557116	2.41954	0.606284	0.00965425	0.000533446
1477010443400000	-3.46519e+73	-2.80724e+74	-9.89226e+96	-2.0177e+49	4.64501e+71	lidar	7.5151e+47	2.65526	0.66598	2.67932	0.609155	0.012405	0.00077098
1477010443450000	nan	nan	nan	nan	nan	radar	nan	2.92034	0.645898	2.93904	0.612786	0.0154956	0.00106986
1477010443500000	nan	nan	nan	nan	nan	lidar	nan	3.01222	0.637046	3.19869	0.617267	0.0189247	0.00143695
1477010443550000	nan	nan	nan	nan	nan	radar	nan	3.56096	0.485311	3.45825	0.622686	0.0226907	0.00187908
1477010443600000	nan	nan	nan	nan	nan	lidar	nan	3.89365	0.311793	3.71772	0.629131	0.026792	0.00240297
1477010443650000	nan	nan	nan	nan	nan	radar	nan	4.19786	0.698311	3.97708	0.636689	0.0312269	0.0030153
1477010443700000	nan	nan	nan	nan	nan	lidar	nan	4.30935	0.578564	4.23632	0.645449	0.0359932	0.00372264
1477010443750000	nan	nan	nan	nan	nan	radar	nan	4.61908	0.68951	4.49542	0.655498	0.0410891	0.00453149
1477010443800000	nan	nan	nan	nan	nan	lidar	nan	4.35143	0.899174	4.75437	0.666921	0.0465122	0.00544822
1477010443850000	nan	nan	nan	nan	nan	radar	nan	5.20902	0.66599	5.01316	0.679804	0.0522603	0.00647915
1477010443900000	nan	nan	nan	nan	nan	lidar	nan	5.51893	0.648233	5.27175	0.694234	0.0583309	0.00763044
1477010443950000	nan	nan	nan	nan	nan	radar	nan	5.22835	0.639362	5.53013	0.710295	0.0647214	0.00890818
1477010444000000	nan	nan	nan	nan	nan	lidar	nan	6.022	0.708619	5.78828	0.728071	0.0714292	0.0103183
1477010444050000	nan	nan	nan	nan	nan	radar	nan	5.89392	0.373584	6.04618	0.747646	0.0784513	0.0118667
1477010444100000	nan	nan	nan	nan	nan	lidar	nan	6.34249	0.948833	6.30379	0.769103	0.085785	0.013559
1477010444150000	nan	nan	nan	nan	nan	radar	nan	6.62134	0.836138	6.56111	0.792523	0.0934271	0.0154007
1477010444200000	nan	nan	nan	nan	nan	lidar	nan	6.78214	0.714036	6.81808	0.817988	0.101375	0.0173974
1477010444250000	nan	nan	nan	nan	nan	radar	nan	7.29121	0.630741	7.07469	0.845578	0.109624	0.0195543
1477010444300000	nan	nan	nan	nan	nan	lidar	nan	7.13735	0.957217	7.3309	0.875372	0.118173	0.0218765
1477010444350000	nan	nan	nan	nan	nan	radar	nan	8.08349	0.819605	7.58668	0.907449	0.127016	0.024369
1477010444400000	nan	nan	nan	nan	nan	lidar	nan	7.80533	0.719126	7.84199	0.941886	0.136152	0.0270366
1477010444450000	nan	nan	nan	nan	nan	radar	nan	8.40453	0.884557	8.0968	0.978758	0.145576	0.0298841
1477010444500000	nan	nan	nan	nan	nan	lidar	nan	8.24796	0.840322	8.35106	1.01814	0.155285	0.0329159
1477010444550000	nan	nan	nan	nan	nan	radar	nan	8.45858	1.41118	8.60472	1.06011	0.165275	0.0361362
1477010444600000	nan	nan	nan	nan	nan	lidar	nan	8.74615	1.04858	8.85775	1.10473	0.175542	0.0395494
1477010444650000	nan	nan	nan	nan	nan	radar	nan	9.8809	1.1419	9.1101	1.15208	0.186083	0.0431593
1477010444700000	nan	nan	nan	nan	nan	lidar	nan	9.25579	1.04913	9.36172	1.20223	0.196892	0.0469698
1477010444750000	nan	nan	nan	nan	nan	radar	nan	10.1016	1.52474	9.61255	1.25524	0.207968	0.0509844
1477010444800000	nan	nan	nan	nan	nan	lidar	nan	10.0484	1.44598	9.86254	1.31118	0.219305	0.0552067
1477010444850000	nan	nan	nan	nan	nan	radar	nan	10.5377	1.72555	10.1116	1.37011	0.2309	0.0596399
1477010444900000	nan	nan	nan	nan	nan	lidar	nan	10.2492	1.45907	10.3598	1.4321	0.242748	0.064287
1477010444950000	nan	nan	nan	nan	nan	radar	nan	10.9084	1.70343	10.6069	1.49721	0.254845	0.0691508
1477010445000000	nan	nan	nan	nan	nan	lidar	nan	10.7313	1.45265	10.853	1.56549	0.267188	0.0742341
1477010445050000	nan	nan	nan	nan	nan	radar	nan	11.4783	1.42876	11.0979	1.637	0.279772	0.0795394
1477010445100000	nan	nan	nan	nan	nan	lidar	nan	11.587	1.61462	11.3416	1.71179	0.292592	0.0850689
1477010445150000	nan	nan	nan	nan	nan	radar	nan	11.4763	1.53917	11.584	1.78992	0.305646	0.0908247
1477010445200000	nan	nan	nan	nan	nan	lidar	nan	11.7788	1.74591	11.8251	1.87144	0.318928	0.0968087
1477010445250000	nan	nan	nan	nan	nan	radar	nan	12.136	2.14937	12.0648	1.95639	0.332435	0.103023
1477010445300000	nan	nan	nan	nan	nan	lidar	nan	12.3226	1.78353	12.3029	2.04482	0.346162	0.109468
1477010445350000	nan	nan	nan	nan	nan	radar	nan	12.5457	1.77728	12.5394	2.13677	0.360106	0.116146
1477010445400000	nan	nan	nan	nan	nan	lidar	nan	12.5924	2.17509	12.7743	2.23227	0.374261	0.123057
1477010445450000	nan	nan	nan	nan	nan	radar	nan	13.2198	2.66441	13.0075	2.33136	0.388625	0.130203
1477010445500000	nan	nan	nan	nan	nan	lidar	nan	13.0875	2.40708	13.2388	2.43409	0.403192	0.137584
1477010445550000	nan	nan	nan	nan	nan	radar	nan	12.7087	3.12439	13.4682	2.54047	0.417959	0.145201
1477010445600000	nan	nan	nan	nan	nan	lidar	nan	13.836	2.62479	13.6955	2.65053	0.432922	0.153054
1477010445650000	nan	nan	nan	nan	nan	radar	nan	13.8302	2.73893	13.9208	2.7643	0.448076	0.161143
1477010445700000	nan	nan	nan	nan	nan	lidar	nan	14.2105	2.94205	14.1439	2.88179	0.463419	0.169467
1477010445750000	nan	nan	nan	nan	nan	radar	nan	14.5568	2.87021	14.3646	3.00303	0.478945	0.178027
1477010445800000	nan	nan	nan	nan	nan	lidar	nan	14.4616	2.90734	14.583	3.12802	0.494652	0.186822
1477010445850000	nan	nan	nan	nan	nan	radar	nan	14.6754	3.96041	14.7989	3.25679	0.510535	0.195852
1477010445900000	nan	nan	nan	nan	nan	lidar	nan	15.0261	3.5067	15.0122	3.38932	0.526591	0.205114
1477010445950000	nan	nan	nan	nan	nan	radar	nan	15.3685	4.14761	15.2228	3.52563	0.542815	0.214608
1477010446000000	nan	nan	nan	nan	nan	lidar	nan	15.5236	3.82936	15.4306	3.66572	0.559205	0.224333
1477010446050000	nan	nan	nan	nan	nan	radar	nan	15.7234	3.4105	15.6356	3.80957	0.575757	0.234287
1477010446100000	nan	nan	nan	nan	nan	lidar	nan	15.9774	4.00094	15.8375	3.95718	0.592467	0.244468
1477010446150000	nan	nan	nan	nan	nan	radar	nan	16.3376	4.21632	16.0363	4.10854	0.609332	0.254875
1477010446200000	nan	nan	nan	nan	nan	lidar	nan	16.3313	4.44499	16.2319	4.26363	0.626349	0.265505
1477010446250000	nan	nan	nan	nan	nan	radar	nan	16.7586	4.48231	16.4242	4.42242	0.643514	0.276356
1477010446300000	nan	nan	nan	nan	nan	lidar	nan	16.6039	4.67344	16.613	4.5849	0.660825	0.287425
1477010446350000	nan	nan	nan	nan	nan	radar	nan	16.9236	5.10119	16.7983	4.75103	0.678278	0.298711
1477010446400000	nan	nan	nan	nan	nan	lidar	nan	16.9955	5.21099	16.9799	4.92077	0.69587	0.310209
1477010446450000	nan	nan	nan	nan	nan	radar	nan	17.3421	4.64623	17.1578	5.09409	0.713599	0.321916
1477010446500000	nan	nan	nan	nan	nan	lidar	nan	17.2894	5.43542	17.3319	5.27094	0.731461	0.333831
1477010446550000	nan	nan	nan	nan	nan	radar	nan	17.6463	4.74597	17.5019	5.45128	0.749454	0.345948
1477010446600000	nan	nan	nan	nan	nan	lidar	nan	17.7853	5.62476	17.6679	5.63506	0.767575	0.358265
1477010446650000	nan	nan	nan	nan	nan	radar	nan	17.9216	6.07151	17.8297	5.82221	0.785823	0.370778
1477010446700000	nan	nan	nan	nan	nan	lidar	nan	18.1263	6.16985	17.9872	6.01269	0.804194	0.383482
1477010446750000	nan	nan	nan	nan	nan	radar	nan	18.1245	6.79027	18.1403	6.20641	0.822686	0.396375
1477010446800000	nan	nan	nan	nan	nan	lidar	nan	18.2164	6.66138	18.2888	6.40332	0.841297	0.409451
1477010446850000	nan	nan	nan	nan	nan	radar	nan	18.4022	7.02231	18.4328	6.60333	0.860025	0.422705
1477010446900000	nan	nan	nan	nan	nan	lidar	nan	18.5422	6.76013	18.572	6.80638	0.878867	0.436135
1477010446950000	nan	nan	nan	nan	nan	radar	nan	18.8089	7.24388	18.7064	7.01237	0.897823	0.449734
1477010447000000	nan	nan	nan	nan	nan	lidar	nan	19.1441	7.18344	18.8359	7.22122	0.91689	0.463498
1477010447050000	nan	nan	nan	nan	nan	radar	nan	18.5479	7.4012	18.9604	7.43283	0.936066	0.477422
1477010447100000	nan	nan	nan	nan	nan	lidar	nan	19.0138	7.8688	19.0798	7.64712	0.95535	0.491501
1477010447150000	nan	nan	nan	nan	nan	radar	nan	19.3089	7.67375	19.1939	7.86397	0.974741	0.505729
1477010447200000	nan	nan	nan	nan	nan	lidar	nan	19.132	8.12845	19.3028	8.08329	0.994236	0.5201
1477010447250000	nan	nan	nan	nan	nan	radar	nan	19.0239	8.17194	19.4062	8.30497	1.01383	0.53461
