time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	2.23125e-314	0.312243	0.58034	0.6	0.6	0	0
1477010443050000	0.735335	0.629467	7.20389	9.78669e-18	5.42626e-17	radar	74.6701	0.862916	0.534212	0.859997	0.600045	0.000345533	4.77611e-06
1477010443100000	1.1605	0.494943	7.20697	-0.127191	-0.0118556	lidar	0.220993	1.17385	0.481073	1.11998	0.600225	0.00103642	2.14877e-05
1477010443150000	1.25801	0.533088	7.19218	0.122698	0.0306249	radar	1.82499	0.969149	0.397513	1.37996	0.600629	0.00207233	5.72822e-05
1477010443200000	1.61582	0.595357	7.20574	0.161523	0.0462392	lidar	0.167384	1.65063	0.62469	1.6399	0.601347	0.00345278	0.000119289
1477010443250000	1.85102	0.561874	6.00941	0.0259592	-0.233213	radar	7.68871	1.62331	0.499091	1.89982	0.60247	0.00517714	0.00021461
1477010443300000	2.16286	0.591371	6.00921	0.0406041	-0.177606	lidar	0.25349	2.18882	0.648739	2.1597	0.604086	0.0072446	0.000350319
1477010443350000	2.37865	0.637203	5.60503	0.0569504	-0.339341	radar	6.27337	1.96701	0.557116	2.41954	0.606284	0.00965425	0.000533446
1477010443400000	2.65593	0.654498	5.60258	0.0456649	-0.318027	lidar	0.00807592	2.65526	0.66598	2.67932	0.609155	0.012405	0.00077098
1477010443450000	2.92238	0.648045	5.53694	-0.00207545	-0.471266	radar	0.418853	2.92034	0.645898	2.93904	0.612786	0.0154956	0.00106986
1477010443500000	3.15826	0.643807	5.49268	-0.0154711	-0.436778	lidar	1.19727	3.01222	0.637046	3.19869	0.617267	0.0189247	0.00143695
1477010443550000	3.44386	0.539767	5.52494	-0.16415	-0.851522	radar	1.27734	3.56096	0.485311	3.45825	0.622686	0.0226907	0.00187908
